Year,Player,Team,Position,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
2023,A.J. Greer,CGY,L,37,329.16666666667,8.8963963963964,59.24,59.24,50.00,42.47,38.64,52.36,27.71,27.52,50.17,2.19,2.55,46.15,2.85,2.36,54.69,25.88,25.88,50.00,10.94,10.21,51.72,1.09,1.64,40.00,19.93,20.9,48.81,0.49,0.49,50.00,47.66,46.87,50.42,1.05,0.79,57.14,7.89,90.73,0.986,6.38,11.48,3.28,64.16,66.04,10.75,16.04,10.57,50.43
2023,Aaron Ekblad,FLA,D,21,444.3,21.157142857143,69.95,57.26,54.99,51.59,42.67,54.73,35.38,29.3,54.70,2.97,1.62,64.71,4.18,3.2,56.60,33.22,27.41,54.79,14.72,11.34,56.48,1.35,0.95,58.82,24.67,21.43,53.52,0.72,0.54,57.14,57.93,53.64,51.92,0.59,0.39,60.00,8.40,94.47,1.029,8.37,9.59,11.88,44.7,41.33,20.26,14.58,23.9,45.87
2023,Adam Boqvist,CBJ,D,13,222.11666666667,17.085897435897,62.67,68.61,47.74,44.3,51.32,46.33,31.33,35.39,46.96,3.78,2.7,58.33,2.58,3.65,41.37,26.74,29.71,47.37,11.35,13.78,45.16,2.43,1.35,64.29,20.53,21.25,49.14,1.44,1.44,50.00,58.14,63.99,47.60,0.39,0.39,50.00,12.07,92.37,1.044,11.35,9.45,7.56,46.46,60.00,24.58,16.21,17.02,59.09
2023,Adam Edstrom,NYR,C,1,9.65,9.65,80.83,49.74,61.90,49.74,37.31,57.14,37.31,31.09,54.55,6.22,0,100.00,5.08,3.64,58.22,37.31,18.65,66.67,12.44,18.65,40.00,0,0,-,33.16,0,100.00,8.29,0,100.00,53.89,44.91,54.55,0,0,-,16.67,100.00,1.167,24.87,6.22,0,49.74,100.00,31.09,6.22,0,100.00
2023,Adam Erne,EDM,L,18,146.3,8.1277777777778,47.16,53.32,46.94,31.17,36.09,46.34,19.69,25.84,43.24,2.46,1.23,66.67,2.04,2.14,48.78,25.43,23.38,52.10,10.25,8.61,54.35,1.64,0.82,66.67,20.23,19.69,50.68,0,0.55,0.00,34.95,47.98,42.14,1.18,0,100.00,12.50,95.24,1.077,10.25,16.4,8.2,52.49,55.56,13.94,20.51,16.81,45.33
2023,Adam Fantilli,CBJ,C,40,627.86666666667,15.696666666667,68.9,56.95,54.75,47.69,42.24,53.03,32.49,30.29,51.75,3.06,3.92,43.84,3.3,2.85,53.72,32.3,26.47,54.96,11.28,10.51,51.75,1.15,1.62,41.38,28.03,21.28,56.85,1.66,1.91,46.43,61.15,44.03,58.14,0.97,1.1,46.67,9.41,87.07,0.965,13.95,9.94,4.01,43,77.66,26.95,13.95,11.18,70.68
2023,Adam Fox,NYR,D,27,604.45,22.387037037037,70.97,47.94,59.68,53.7,34.15,61.13,36.53,23.03,61.33,3.97,1.49,72.73,4.15,2.38,63.55,35.24,24.22,59.27,15.39,9.03,63.01,1.89,0.69,73.08,26.47,20.25,56.66,1.19,0.93,56.25,64.66,37.85,63.08,1.72,0.14,92.31,10.87,93.53,1.044,11.22,10.52,8.44,36.43,57.07,26.8,16.48,15.09,63.98
2023,Adam Henrique,ANA,C,36,602.13333333333,16.725925925926,55.3,63.87,46.40,40.16,46.14,46.54,28.2,31.69,47.09,2.69,2.69,50.00,2.99,3.86,43.65,24.11,32.09,42.91,10.06,13.45,42.80,1.49,1.3,53.57,18.73,24.84,42.99,0.93,1.06,46.67,52.39,56.71,48.02,0.58,0.72,44.44,9.54,91.51,1.011,11.76,11.46,14.75,40.36,44.36,21.32,15.54,26.01,45.05
2023,Adam Larsson,SEA,D,39,931.35,23.880769230769,53.47,69.19,43.59,36.14,52.31,40.86,24.03,34.47,41.08,2,3.03,39.74,2.23,3.61,38.19,23.97,31.37,43.31,8.95,12.76,41.25,1.03,1.67,38.10,20.01,24.82,44.64,0.6,1.03,36.84,47.74,64.11,42.68,0.65,0.84,43.75,8.31,91.21,0.995,8.05,11.6,10.18,38.98,44.17,18.68,15.85,22.23,45.67
2023,Adam Lowry,WPG,C,37,587.05,15.866216216216,52.64,66.84,44.05,38.74,46.09,45.66,27.7,31.79,46.56,2.76,3.07,47.37,2.81,3.38,45.40,25.14,29.64,45.90,11.24,13.29,45.83,1.64,1.53,51.61,18.53,21.8,45.95,0.82,1.09,42.86,40.75,67.02,37.81,0.74,0.74,50.00,9.96,90.35,1.003,8.99,17.17,17.89,40.58,33.46,12.98,22.38,31.68,29.06
2023,Adam Pelech,NYI,D,16,314.1,19.63125,51,75.64,40.27,37.82,56.35,40.16,26.93,39.73,40.40,3.06,3.82,44.44,2.25,3.59,38.61,22.73,37.82,37.54,9.93,14.71,40.31,1.53,1.53,50.00,17.06,30.82,35.64,1.53,2.29,40.00,46.08,70.36,39.57,0.55,0.83,40.00,11.35,90.38,1.017,6.88,9.93,16.81,44.89,29.03,16.62,18.15,33.05,33.46
2023,Adam Ruzicka,CGY,C,32,331.48333333333,10.358854166667,64.44,53.22,54.77,43.8,35.84,55.00,30.41,25.16,54.72,2.35,2.53,48.15,2.86,2.03,58.43,30.05,24.44,55.15,11.4,7.42,60.58,1.27,1.09,53.85,24.86,22.69,52.28,0.48,1.45,25.00,56.73,39.74,58.81,1.05,0.26,80.00,7.74,89.93,0.977,11.22,12.67,4.53,57.56,71.26,19.91,17.38,11.04,64.33
2023,Adrian Kempe,L.A,R,35,651.06666666667,18.601904761905,71.14,48.47,59.48,49.76,36.13,57.94,33.91,24.88,57.68,4.61,2.12,68.49,4.14,2.75,60.12,34.19,23.22,59.55,14.28,9.12,61.02,2.49,0.92,72.97,26.54,18.8,58.54,1.35,1.11,55.00,67.89,43.53,60.93,1.33,0.53,71.43,13.59,91.48,1.051,14.1,11.89,10.78,32.62,56.67,27.65,16.5,20.46,57.47
2023,Akito Hirose,VAN,D,3,36.316666666667,12.105555555556,39.65,42.96,48.00,29.74,26.43,52.94,21.48,18.17,54.17,1.65,0,100.00,2.09,1.86,52.87,23.13,28.09,45.16,8.26,11.56,41.67,1.65,0,100.00,19.83,22.03,47.37,0,0,-,38.18,23.86,61.54,0,0,-,7.69,100.00,1.077,6.61,13.22,1.65,74.35,80.00,16.52,19.83,8.26,66.67
2023,Alec Martinez,VGK,D,22,410.96666666667,18.680303030303,55.77,80.01,41.08,38.69,50.95,43.16,27.74,34.6,44.50,2.04,2.77,42.42,2.26,3.27,40.94,24.97,34.46,42.01,10.07,12.99,43.67,1.17,1.75,40.00,19.86,28.62,40.96,0.78,0.97,44.44,52.51,69.59,43.01,0.42,0.42,50.00,7.37,91.98,0.994,8.76,13.29,9.93,42.78,46.88,20.59,16.35,21.61,48.79
2023,Aleksander Barkov,FLA,C,35,674.65,19.275714285714,83.6,49.27,62.92,59.85,34.77,63.25,42.42,24.37,63.52,4.98,2.22,69.14,4.87,2.78,63.67,42.42,24.55,63.35,17.96,8.72,67.33,2.93,1.07,73.33,32.61,21.11,60.71,1.07,0.83,56.25,71.68,44.45,61.73,1.28,0.51,71.43,11.74,90.88,1.026,16.28,10.67,12.9,34.77,55.79,28.01,15.3,21.34,56.76
2023,Alex Barré-Boulet,T.B,C,30,349.31666666667,11.643888888889,61.32,57.88,51.44,43.11,42.94,50.10,29.72,30.57,49.29,2.58,3.09,45.45,3.08,2.98,50.83,31.78,28,53.16,14.26,12.37,53.55,1.89,1.72,52.38,23.36,20.84,52.85,0.69,0.69,50.00,46.89,41.68,52.94,0.25,1.24,16.67,8.67,89.89,0.986,12.2,12.71,4.47,53.42,73.20,18.55,17,9.96,65.06
2023,Alex DeBrincat,DET,R,39,714.96666666667,18.332478632479,72.42,51.69,58.35,53.29,38.1,58.31,39.19,26.6,59.57,4.7,2.94,61.54,3.82,2.69,58.64,34.66,23.75,59.34,12.84,9.32,57.95,1.51,1.34,52.94,29.09,19.25,60.19,2.8,1.01,73.53,67.03,42.06,61.44,1.45,0.73,66.67,11.99,88.96,1.010,13.85,13.34,5.71,37.26,70.82,25.76,17.46,12.84,66.74
2023,Alex Goligoski,MIN,D,20,304.06666666667,15.203333333333,57.22,54.07,51.42,38.87,39.86,49.37,27.63,27.23,50.36,2.37,2.76,46.15,2.45,2.4,50.51,27.23,28.02,49.29,9.87,10.26,49.02,1.18,1.38,46.15,23.15,23.68,49.44,1.58,1.05,60.00,45.32,44.18,50.64,0,0.86,0.00,8.57,89.86,0.984,5.92,7.7,5.13,56.04,53.57,16.97,14.4,14.21,54.43
