Year,Player,Team,Position,GP,TOI,TOI/GP,Goals/60,Total Assists/60,First Assists/60,Second Assists/60,Total Points/60,IPP,Shots/60,SH%,ixG/60,iCF/60,iFF/60,iSCF/60,iHDCF/60,Rush Attempts/60,Rebounds Created/60,PIM/60,Total Penalties/60,Minor/60,Major/60,Misconduct/60,Penalties Drawn/60,Giveaways/60,Takeaways/60,Hits/60,Hits Taken/60,Shots Blocked/60,Faceoffs Won/60,Faceoffs Lost/60,Faceoffs %
2023,A.J. Greer,CGY,L,37,329.16666666667,8.8963963963964,1.09,0.73,0.36,0.36,1.82,83.33,8.02,13.64,0.95,13.67,10.57,8.02,4.74,0.91,1.46,4.92,1.64,1.09,0.55,0,1.46,1.82,2.37,11.67,5.83,2.92,0.55,0.36,10.94
2023,Aaron Ekblad,FLA,D,21,444.3,21.157142857143,0.14,0.95,0.14,0.81,1.08,36.36,5.94,2.27,0.36,12.96,9.45,3.92,0.81,0.54,0.95,3.51,1.22,1.08,0,0.14,0.54,1.89,0.68,3.38,2.16,3.51,0,0,-
2023,Adam Boqvist,CBJ,D,13,222.11666666667,17.085897435897,0,0.81,0.54,0.27,0.81,21.43,3.78,0.00,0.24,8.91,6.48,2.43,0.54,0,0,0,0,0,0,0,0.54,1.62,1.08,1.89,3.24,4.59,0,0,-
2023,Adam Edstrom,NYR,C,1,9.65,9.65,6.22,0,0,0,6.22,100.00,18.65,33.33,3.07,18.65,18.65,18.65,6.22,0,0,0,0,0,0,0,6.22,6.22,6.22,12.44,6.22,0,0,0,-
2023,Adam Erne,EDM,L,18,146.3,8.1277777777778,0.41,0.41,0.41,0,0.82,33.33,4.51,9.09,0.49,9.43,6.15,4.92,2.46,0,0,2.87,0.82,0.41,0.41,0,0.82,1.23,1.23,17.22,6.56,1.64,1.23,2.05,15.38
2023,Adam Fantilli,CBJ,C,40,627.86666666667,15.696666666667,1.05,1.24,0.76,0.48,2.29,75.00,9.46,11.11,1.04,19.97,13.86,9.75,2.58,0.38,2.68,1.53,0.76,0.76,0,0,1.05,1.05,1.24,3.06,3.63,1.91,14.62,18.54,4.21
2023,Adam Fox,NYR,D,27,604.45,22.387037037037,0.3,2.08,0.89,1.19,2.38,60.00,4.17,7.14,0.35,8.83,5.96,2.78,0.5,0.3,0.4,1.39,0.69,0.69,0,0,0.99,1.09,1.19,0.89,2.18,4.07,0,0,-
2023,Adam Henrique,ANA,C,36,602.13333333333,16.725925925926,1,0.9,0.5,0.4,1.89,70.37,5.98,16.67,1.01,11.96,9.67,6.88,3.79,0.5,1.1,1.4,0.7,0.7,0,0,0.5,0.4,1.59,2.19,1.89,3.09,29.3,24.71,5.41
2023,Adam Larsson,SEA,D,39,931.35,23.880769230769,0.13,0.58,0.13,0.45,0.71,35.48,4.51,2.86,0.28,10.57,6.7,3.54,0.9,0.32,1.1,1.42,0.64,0.64,0,0,0.32,0.71,0.39,4.45,1.93,4.7,0,0,-
2023,Adam Lowry,WPG,C,37,587.05,15.866216216216,0.72,1.02,0.61,0.41,1.74,62.96,5.21,13.73,0.93,9.91,8.28,6.95,4.39,0.31,1.12,3.37,1.23,0.92,0.31,0,1.12,1.12,1.12,6.64,4.29,3.27,31.58,32.09,5.07
2023,Adam Pelech,NYI,D,16,314.1,19.63125,0,0.57,0.38,0.19,0.57,18.75,3.06,0.00,0.11,8.21,4.78,2.1,0.19,0.38,0.19,3.25,1.34,1.15,0.19,0,0.96,0.57,0.76,2.87,1.91,5.35,0,0,-
2023,Adam Ruzicka,CGY,C,32,331.48333333333,10.358854166667,0.54,1.09,0.72,0.36,1.63,69.23,5.61,9.68,0.61,11.58,7.96,5.97,1.99,0.18,1.63,0.72,0.36,0.36,0,0,0.54,1.63,0.54,0.91,2.35,2.17,11.22,12.13,8.70
2023,Adrian Kempe,L.A,R,35,651.06666666667,18.601904761905,1.29,1.94,1.11,0.83,3.23,70.00,10.32,12.50,1.13,21.84,15.3,9.4,3.04,0.37,1.66,3.13,1.38,1.38,0,0,1.75,0.83,1.2,3.78,2.86,1.01,0.09,0.28,2.30
2023,Akito Hirose,VAN,D,3,36.316666666667,12.105555555556,0,0,0,0,0,0.00,0,-,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,6.61,8.26,0,0,-
2023,Alec Martinez,VGK,D,22,410.96666666667,18.680303030303,0.58,0.15,0,0.15,0.73,35.71,5.11,11.43,0.21,11.24,7.3,3.21,0.29,0,0.88,0.29,0.15,0.15,0,0,0.29,1.9,1.31,2.04,4.23,10.07,0,0,-
2023,Aleksander Barkov,FLA,C,35,674.65,19.275714285714,0.98,2.49,1.33,1.16,3.47,69.64,9.16,10.68,1.24,17.16,13.7,10.76,4.71,0.8,1.69,1.07,0.53,0.53,0,0,0.8,1.69,2.58,3.11,2.49,2.22,24.55,20.72,4.82
2023,Alex Barré-Boulet,T.B,C,30,349.31666666667,11.643888888889,1.03,0.52,0.34,0.17,1.55,60.00,7.21,14.29,0.88,12.2,10.31,8.59,4.12,0,0.34,1.72,0.86,0.86,0,0,1.03,1.55,2.4,2.75,2.4,1.2,2.4,1.72,10.02
2023,Alex DeBrincat,DET,R,39,714.96666666667,18.332478632479,1.43,1.76,1.09,0.67,3.19,67.86,10.32,13.82,1.06,19.72,14.6,10.24,3.27,0.42,1.76,1.43,0.59,0.5,0.08,0,0.67,1.34,1.51,1.43,1.68,1.59,0.76,0.84,3.98
2023,Alex Goligoski,MIN,D,20,304.06666666667,15.203333333333,0,1.18,0.79,0.39,1.18,50.00,3.35,0.00,0.21,8.68,5.33,2.96,0.79,0,0.59,2.76,1.38,1.38,0,0,0.59,1.38,0.39,3.16,3.16,4.54,0,0,-
2023,Alex Iafallo,WPG,L,37,614.63333333333,16.611711711712,0.68,0.98,0.49,0.49,1.66,54.84,6.64,10.29,0.98,13.47,11.13,8.4,4.49,0.59,1.17,0.2,0.1,0.1,0,0,0.39,0.88,1.76,1.27,3.03,3.12,0.29,0.98,2.25
2023,Alex Kerfoot,ARI,C,37,646.53333333333,17.473873873874,0.46,1.76,1.11,0.65,2.23,70.59,4.92,9.43,0.77,8.45,7.33,5.48,3.8,0.09,0.93,1.11,0.56,0.56,0,0,0.93,1.02,1.67,1.95,4.08,1.86,14.66,15.31,4.54
2023,Alex Killorn,ANA,"C, L",27,489.21666666667,18.119135802469,0.49,1.23,0.98,0.25,1.72,58.33,8.09,6.06,1.13,14.23,10.67,7.97,3.8,0.25,2.21,3.19,1.1,0.98,0,0.12,0.25,1.47,1.35,2.45,2.94,1.59,0.61,1.35,3.83
